ColumnaX,ColumnaZ,ColumnaY
1.994,30.620,901
1.989,30.470,902
1.988,30.421,903
1.990,30.502,904
1.983,30.276,905
1.986,30.369,906
1.980,30.195,907
1.981,30.219,908
1.979,30.171,909
1.977,30.095,910
1.979,30.171,911
1.972,29.958,912
1.981,30.219,913
1.988,30.437,914
1.990,30.494,915
1.979,30.147,916
1.987,30.393,917
1.973,29.982,918
1.986,30.377,919
1.988,30.417,920
1.989,30.470,921
1.985,30.352,922
1.989,30.458,923
1.984,30.324,924
1.984,30.296,925
1.984,30.320,926
1.983,30.288,927
1.981,30.227,928
1.988,30.433,929
1.987,30.409,930
1.983,30.268,931
1.983,30.272,932
1.985,30.340,933
1.991,30.539,934
1.985,30.344,935
1.991,30.530,936
1.996,30.689,937
1.992,30.551,938
1.987,30.413,939
1.991,30.534,940
1.988,30.445,941
1.982,30.260,942
1.993,30.575,943
1.983,30.284,944
1.984,30.320,945
1.977,30.103,946
1.985,30.352,947
1.974,29.990,948
1.975,30.022,949
1.976,30.058,950
1.969,29.850,951
1.958,29.514,952
1.988,30.425,953
1.974,30.018,954
1.977,30.111,955
1.978,30.131,956
1.966,29.766,957
1.979,30.147,958
1.984,30.300,959
1.982,30.256,960
1.984,30.312,961
1.984,30.300,962
1.979,30.159,963
1.991,30.510,964
1.987,30.397,965
1.987,30.405,966
1.990,30.498,967
1.986,30.377,968
1.988,30.425,969
1.985,30.332,970
1.987,30.413,971
1.984,30.324,972
1.989,30.466,973
1.988,30.441,974
1.982,30.235,975
1.982,30.252,976
1.989,30.449,977
1.989,30.458,978
1.987,30.389,979
1.989,30.462,980
1.978,30.127,981
1.986,30.373,982
1.982,30.248,983
1.987,30.393,984
1.984,30.312,985
1.982,30.260,986
1.983,30.280,987
1.977,30.107,988
1.985,30.340,989
1.978,30.135,990
1.975,30.034,991
1.973,29.978,992
1.975,30.042,993
1.984,30.320,994
1.983,30.264,995
1.982,30.256,996
1.972,29.934,997
1.968,29.830,998
1.975,30.022,999
1.969,29.866,1000
1.969,29.842,1001
1.972,29.946,1002
1.969,29.842,1003
1.966,29.774,1004
1.961,29.622,1005
1.967,29.794,1006
1.969,29.858,1007
1.970,29.882,1008
1.965,29.726,1009
1.968,29.834,1010
1.955,29.419,1011
1.973,29.986,1012
1.967,29.786,1013
1.973,29.982,1014
1.969,29.854,1015
1.977,30.107,1016
1.973,29.978,1017
1.972,29.954,1018
1.971,29.918,1019
1.970,29.886,1020
1.969,29.858,1021
1.966,29.758,1022
1.965,29.730,1023
1.969,29.858,1024
1.962,29.642,1025
1.971,29.926,1026
1.976,30.058,1027
1.963,29.674,1028
1.969,29.866,1029
1.969,29.854,1030
1.971,29.910,1031
1.977,30.111,1032
1.976,30.078,1033
1.984,30.324,1034
1.968,29.834,1035
1.969,29.854,1036
1.969,29.838,1037
1.978,30.139,1038
1.976,30.050,1039
1.973,29.978,1040
1.979,30.159,1041
1.974,29.990,1042
1.973,29.962,1043
1.974,30.018,1044
1.971,29.906,1045
1.972,29.930,1046
1.978,30.135,1047
1.981,30.203,1048
1.974,29.998,1049
1.983,30.264,1050
1.984,30.300,1051
1.992,30.567,1052
1.977,30.091,1053
1.987,30.393,1054
1.992,30.547,1055
1.979,30.151,1056
1.982,30.260,1057
1.980,30.195,1058
1.989,30.454,1059
1.977,30.111,1060
1.987,30.413,1061
2.002,30.859,1062
2.003,30.888,1063
2.001,30.831,1064
1.997,30.705,1065
1.988,30.445,1066
1.987,30.401,1067
1.991,30.530,1068
1.987,30.409,1069
1.988,30.441,1070
1.987,30.397,1071
1.987,30.409,1072
1.991,30.522,1073
1.995,30.644,1074
2.001,30.827,1075
1.992,30.555,1076
1.992,30.547,1077
1.977,30.107,1078
1.987,30.389,1079
